holiday,temp,rain_1h,snow_1h,clouds_all,weather_main,month,weekday,hour
,288.28,0.0,0.0,40,Clouds,October,Tuesday,9
,289.36,0.0,0.0,75,Clouds,October,Tuesday,10
,289.58,0.0,0.0,90,Clouds,October,Tuesday,11
,290.13,0.0,0.0,90,Clouds,October,Tuesday,12
,291.14,0.0,0.0,75,Clouds,October,Tuesday,13
,291.72,0.0,0.0,1,Clear,October,Tuesday,14
,293.17,0.0,0.0,1,Clear,October,Tuesday,15
,293.86,0.0,0.0,1,Clear,October,Tuesday,16
,294.14,0.0,0.0,20,Clouds,October,Tuesday,17
,293.1,0.0,0.0,20,Clouds,October,Tuesday,18
,290.97,0.0,0.0,20,Clouds,October,Tuesday,19
,289.38,0.0,0.0,1,Clear,October,Tuesday,20
,288.61,0.0,0.0,1,Clear,October,Tuesday,21
,287.16,0.0,0.0,1,Clear,October,Tuesday,22
,285.45,0.0,0.0,1,Clear,October,Tuesday,23
,284.63,0.0,0.0,1,Clear,October,Wednesday,0
,283.47,0.0,0.0,1,Clear,October,Wednesday,1
,281.18,0.0,0.0,1,Clear,October,Wednesday,2
,281.09,0.0,0.0,1,Clear,October,Wednesday,3
,279.53,0.0,0.0,1,Clear,October,Wednesday,4
,278.62,0.0,0.0,1,Clear,October,Wednesday,5
,278.23,0.0,0.0,1,Clear,October,Wednesday,6
,278.12,0.0,0.0,1,Clear,October,Wednesday,8
,282.48,0.0,0.0,1,Clear,October,Wednesday,9
,291.97,0.0,0.0,1,Clear,October,Wednesday,12
,293.23,0.0,0.0,1,Clear,October,Wednesday,13
,294.31,0.0,0.0,1,Clear,October,Wednesday,14
,295.17,0.0,0.0,1,Clear,October,Wednesday,15
,295.13,0.0,0.0,1,Clear,October,Wednesday,16
,293.66,0.0,0.0,20,Clouds,October,Wednesday,18
,290.65,0.0,0.0,20,Clouds,October,Wednesday,19
,288.19,0.0,0.0,20,Clouds,October,Wednesday,20
,287.1,0.0,0.0,1,Clear,October,Wednesday,21
,286.25,0.0,0.0,1,Clear,October,Wednesday,22
,285.26,0.0,0.0,1,Clear,October,Wednesday,23
,284.55,0.0,0.0,1,Clear,October,Thursday,0
,283.47,0.0,0.0,1,Clear,October,Thursday,1
,283.17,0.0,0.0,1,Clear,October,Thursday,2
,282.04,0.0,0.0,1,Clear,October,Thursday,3
,281.69,0.0,0.0,1,Clear,October,Thursday,4
,281.32,0.0,0.0,1,Clear,October,Thursday,5
,280.74,0.0,0.0,1,Clear,October,Thursday,6
,280.57,0.0,0.0,1,Clear,October,Thursday,7
,281.86,0.0,0.0,1,Clear,October,Thursday,8
,284.98,0.0,0.0,1,Clear,October,Thursday,9
,289.18,0.0,0.0,1,Clear,October,Thursday,10
,291.55,0.0,0.0,1,Clear,October,Thursday,11
,294.97,0.0,0.0,1,Clear,October,Thursday,12
,296.38,0.0,0.0,1,Clear,October,Thursday,13
,297.32,0.0,0.0,1,Clear,October,Thursday,14
,298.17,0.0,0.0,1,Clear,October,Thursday,15
,298.06,0.0,0.0,20,Clouds,October,Thursday,16
,297.67,0.0,0.0,20,Clouds,October,Thursday,17
,296.36,0.0,0.0,40,Clouds,October,Thursday,18
,293.85,0.0,0.0,40,Clouds,October,Thursday,19
,292.43,0.0,0.0,40,Clouds,October,Thursday,20
,291.77,0.0,0.0,75,Clouds,October,Thursday,21
,291.36,0.0,0.0,75,Clouds,October,Thursday,22
,291.12,0.0,0.0,75,Clouds,October,Thursday,23
,290.63,0.0,0.0,75,Clouds,October,Friday,0
